Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms,set,K12,DBSCAN2.5
Audien ,Something Better,3zBhihYUHBmGd2bcQIobrF,0.367,2.0,0.684,1.62e-05,0.081,103.621,audio_features,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756.0,N,3,0
Eagles ,Life in the Fast Lane  2013 Remaster,2wAJTrFhCnQyNSD3oUgTZO,0.427,2.0,0.0531,0.0,0.307,93.004,audio_features,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,235320.0,N,1,0
Miguel ,Coffee,6n849Tolbsyapue50SlLWS,0.584,1.0,0.0107,0.0,0.312,103.977,audio_features,spotify:track:6n849Tolbsyapue50SlLWS,https://api.spotify.com/v1/tracks/6n849Tolbsyapue50SlLWS,https://api.spotify.com/v1/audio-analysis/6n849Tolbsyapue50SlLWS,236795.0,N,8,0
Backstreet Boys ,Everybody (Backstreet's Back),1cEUi8QulMj1xgrPwwGC2p,0.742,9.0,0.107,0.00757,0.0743,120.018,audio_features,spotify:track:1cEUi8QulMj1xgrPwwGC2p,https://api.spotify.com/v1/tracks/1cEUi8QulMj1xgrPwwGC2p,https://api.spotify.com/v1/audio-analysis/1cEUi8QulMj1xgrPwwGC2p,290136.0,N,4,0
BTS ,Mikrokosmos,79esEXlqqmq0GPz0xQSZTV,0.738,10.0,0.255,0.0,0.106,105.027,audio_features,spotify:track:79esEXlqqmq0GPz0xQSZTV,https://api.spotify.com/v1/tracks/79esEXlqqmq0GPz0xQSZTV,https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,201200.0,N,4,0
Young Thug ,Memo,75ld9n7watXCD0nHnE931J,0.781,6.0,0.0377,0.0,0.805,77.27,audio_features,spotify:track:75ld9n7watXCD0nHnE931J,https://api.spotify.com/v1/tracks/75ld9n7watXCD0nHnE931J,https://api.spotify.com/v1/audio-analysis/75ld9n7watXCD0nHnE931J,301870.0,N,6,0
John Prine ,Angel from Montgomery,5ie5OPdaP9fivYaKcjwKF1,0.545,3.0,0.703,0.0,0.0811,82.07,audio_features,spotify:track:5ie5OPdaP9fivYaKcjwKF1,https://api.spotify.com/v1/tracks/5ie5OPdaP9fivYaKcjwKF1,https://api.spotify.com/v1/audio-analysis/5ie5OPdaP9fivYaKcjwKF1,191159.0,N,3,0
Lil Wayne ,NFL,1RDvyOk4WtPCtoqciJwVn8,0.879,0.0,0.158,0.00142,0.439,114.993,audio_features,spotify:track:1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/tracks/1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/audio-analysis/1RDvyOk4WtPCtoqciJwVn8,201391.0,N,8,0
Otis Redding ,(Sittin' On) the Dock of the Bay,1VSuFS7PahCN3SWbOcQ98m,0.875,1.0,0.000417,0.0086,0.194,99.975,audio_features,spotify:track:1VSuFS7PahCN3SWbOcQ98m,https://api.spotify.com/v1/tracks/1VSuFS7PahCN3SWbOcQ98m,https://api.spotify.com/v1/audio-analysis/1VSuFS7PahCN3SWbOcQ98m,171621.0,N,1,0
J. Cole ,Work Out,5ubvP9oKmxLUVq506fgLhk,0.773,10.0,0.0288,0.00871,0.147,103.564,audio_features,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373.0,N,4,0
